[[348.83, 627.8], [15.93, 18.97]]
[[345.88, 622.24], [15.94, 18.97]]
[[349.35, 627.95], [15.99, 19.1]]
[[349.55, 628.01], [15.94, 19.1]]
[[349.55, 628.01], [15.86, 18.97]]
[[353.1, 633.86], [15.88, 19.1]]
[[353.1, 633.86], [15.97, 19.24]]
[[353.31, 633.92], [15.94, 19.24]]
[[353.52, 633.98], [15.84, 19.1]]
[[356.94, 639.9], [15.69, 18.83]]
[[356.94, 639.9], [15.64, 18.83]]
[[357.16, 639.96], [15.71, 18.96]]
[[357.37, 640.02], [15.76, 19.1]]
[[360.87, 646.07], [15.76, 19.1]]
[[360.87, 646.07], [15.71, 19.1]]
[[361.09, 646.14], [15.76, 19.23]]
[[364.46, 652.26], [15.76, 19.23]]
[[364.67, 652.33], [15.73, 19.23]]
[[364.67, 652.33], [15.7, 19.23]]
[[364.67, 652.33], [15.78, 19.37]]
[[364.89, 652.39], [15.82, 19.5]]
[[368.78, 658.79], [15.97, 19.77]]
[[372.32, 665.2], [15.95, 19.77]]
[[372.32, 665.2], [15.84, 19.63]]
[[372.54, 665.27], [15.64, 19.37]]
[[376.16, 671.83], [15.66, 19.5]]
[[376.16, 671.83], [15.49, 19.23]]
[[376.39, 671.9], [15.56, 19.36]]
[[376.62, 671.97], [15.64, 19.5]]
[[380.33, 678.69], [15.68, 19.63]]
[[380.56, 678.76], [15.89, 20.03]]
[[384.59, 685.72], [15.94, 20.16]]
[[385.06, 685.86], [15.99, 20.29]]
[[385.53, 686.01], [16.06, 20.42]]
[[389.44, 693.06], [16.06, 20.42]]
[[389.91, 693.21], [16.03, 20.42]]
[[390.15, 693.29], [16.11, 20.55]]
[[394.65, 700.67], [16.01, 20.42]]
[[394.89, 700.75], [16.08, 20.55]]
[[399.99, 708.48], [16.23, 20.81]]
[[399.99, 708.48], [16.3, 20.94]]
[[400.23, 708.56], [16.27, 20.94]]
[[404.48, 716.17], [16.39, 21.19]]
[[404.73, 716.25], [16.39, 21.19]]
[[405.22, 716.41], [16.46, 21.32]]
[[405.47, 716.49], [16.61, 21.58]]
[[410.34, 724.46], [16.58, 21.58]]
[[410.6, 724.54], [16.51, 21.45]]
[[415.34, 732.65], [16.51, 21.45]]
[[415.6, 732.73], [16.53, 21.45]]
[[420.47, 741.05], [16.61, 21.58]]
[[420.73, 741.13], [16.68, 21.7]]
[[421.25, 741.31], [16.68, 21.7]]
[[420.99, 741.22], [16.57, 21.58]]
[[426.8, 750.03], [16.77, 21.83]]
[[431.69, 758.72], [16.75, 21.83]]
[[431.42, 758.63], [16.84, 21.95]]
[[437.26, 767.83], [16.77, 21.83]]
[[437.4, 767.88], [16.94, 22.08]]
[[437.67, 767.97], [16.94, 22.08]]
[[443.13, 777.24], [17.04, 22.21]]
[[443.68, 777.43], [17.2, 22.45]]
[[443.68, 777.43], [17.44, 22.82]]
[[449.3, 786.97], [17.51, 22.95]]
[[455.08, 796.79], [17.64, 23.19]]
[[455.66, 796.99], [17.67, 23.19]]
[[461.61, 807.09], [17.61, 23.07]]
[[462.49, 807.4], [17.66, 23.19]]
[[462.49, 807.4], [17.66, 23.19]]
[[468.49, 817.76], [17.68, 23.19]]
[[469.08, 817.97], [17.75, 23.31]]
[[476.03, 828.91], [17.72, 23.31]]
[[482.57, 839.97], [17.75, 23.31]]
[[482.88, 840.08], [17.86, 23.55]]
