[(844.0, 74), (476.5, 358), (682.5, 340), (591.5, 74), (637.5, 77)]
[(845.5, 75), (476.5, 358), (682.5, 340), (590.5, 74), (636.5, 73)]
[(846.0, 73), (476.5, 358), (682.5, 340), (591.5, 75), (636.5, 77)]
[(847.5, 74), (476.5, 358), (683.0, 342), (591.5, 74), (636.5, 77)]
[(848.0, 74), (475.5, 358), (684.0, 342), (591.5, 74), (636.5, 78)]
[(848.0, 75), (476.5, 358), (685.0, 342), (592.5, 75), (637.5, 78)]
[(849.5, 73), (476.5, 358), (685.5, 342), (592.5, 74), (636.5, 78)]
[(851.0, 74), (476.5, 359), (685.0, 343), (591.5, 75), (637.0, 78)]
[(851.0, 75), (476.5, 358), (685.5, 342), (591.5, 75), (636.5, 79)]
[(852.0, 76), (476.5, 359), (686.5, 342), (592.5, 75), (636.5, 79)]
[(852.5, 75), (476.5, 358), (687.5, 342), (591.5, 74), (635.5, 79)]
[(852.0, 76), (476.5, 359), (687.5, 342), (592.5, 75), (635.5, 80)]
[(854.0, 77), (476.5, 358), (688.5, 342), (592.5, 75), (634.5, 82)]
[(855.5, 77), (476.5, 359), (688.5, 343), (592.5, 76), (635.5, 81)]
[(855.5, 76), (477.0, 360), (689.5, 343), (593.5, 75), (633.5, 81)]
[(855.5, 77), (476.5, 358), (690.0, 343), (593.5, 75), (633.5, 80)]
[(857.0, 78), (477.0, 359), (690.0, 342), (592.5, 75), (633.5, 79)]
[(858.0, 78), (477.0, 359), (690.0, 342), (593.5, 76), (633.5, 79)]
[(858.0, 78), (477.0, 359), (692.0, 342), (593.5, 76), (633.5, 79)]
[(860.0, 79), (477.0, 359), (691.0, 343), (593.5, 76), (632.5, 79)]
[(860.0, 79), (477.0, 359), (692.0, 343), (593.5, 75), (632.5, 79)]
[(861.0, 80), (477.0, 360), (692.0, 343), (593.5, 76), (631.5, 79)]
[(862.0, 80), (477.0, 360), (693.0, 343), (593.5, 76), (631.5, 79)]
[(863.0, 80), (476.5, 360), (693.0, 344), (593.5, 75), (632.5, 80)]
[(864.0, 81), (477.5, 360), (693.5, 345), (593.5, 77), (631.5, 81)]
[(865.0, 81), (477.0, 361), (693.5, 345), (594.5, 77), (632.5, 81)]
[(866.0, 81), (477.0, 361), (693.0, 346), (594.5, 76), (631.5, 81)]
[(866.5, 81), (478.0, 361), (694.0, 346), (593.5, 77), (630.5, 82)]
[(867.5, 81), (478.0, 362), (694.0, 346), (594.5, 77), (631.5, 82)]
[(868.5, 81), (477.5, 363), (695.0, 347), (594.5, 77), (630.5, 82)]
[(869.5, 80), (477.5, 362), (696.0, 347), (594.5, 77), (629.5, 82)]
[(871.0, 80), (478.5, 362), (696.0, 345), (595.5, 78), (630.5, 82)]
[(872.0, 82), (478.5, 362), (696.0, 345), (595.0, 76), (629.5, 82)]
[(872.0, 81), (478.5, 362), (697.0, 345), (594.5, 77), (629.5, 83)]
[(872.5, 82), (479.0, 362), (698.0, 346), (594.5, 77), (629.5, 83)]
[(873.5, 81), (478.5, 362), (698.0, 346), (595.5, 77), (629.5, 82)]
[(875.5, 81), (479.0, 362), (699.0, 346), (595.5, 77), (628.5, 80)]
[(875.5, 81), (479.0, 363), (699.5, 347), (594.5, 77), (628.5, 81)]
[(876.5, 81), (480.0, 362), (700.0, 346), (595.5, 77), (628.5, 82)]
[(877.5, 81), (480.0, 362), (700.0, 346), (595.5, 77), (629.5, 82)]
[(878.0, 81), (480.0, 363), (701.0, 347), (594.5, 77), (628.5, 82)]
[(880.5, 81), (479.0, 362), (702.0, 346), (595.5, 77), (629.5, 82)]
[(881.5, 81), (479.0, 362), (702.5, 347), (596.5, 77), (628.5, 82)]
[(882.0, 81), (479.0, 362), (702.5, 347), (595.5, 77), (628.5, 82)]
[(883.5, 80), (479.0, 361), (704.5, 348), (595.0, 76), (628.5, 82)]
[(885.0, 82), (479.0, 361), (704.5, 348), (596.5, 77), (628.5, 82)]
[(885.5, 81), (479.0, 361), (705.5, 348), (595.5, 77), (628.5, 82)]
[(885.5, 82), (479.0, 361), (705.5, 348), (595.5, 77), (627.5, 82)]
[(887.0, 82), (479.0, 360), (707.5, 347), (596.5, 77), (627.5, 82)]
[(888.0, 82), (479.0, 361), (707.5, 347), (595.5, 77), (627.5, 82)]
[(888.5, 82), (480.0, 361), (708.5, 347), (596.5, 77), (627.5, 82)]
[(888.5, 82), (479.5, 360), (709.0, 348), (595.5, 77), (627.5, 82)]
[(889.5, 82), (480.5, 360), (709.5, 348), (597.0, 76), (627.5, 82)]
[(890.0, 82), (480.5, 360), (711.0, 346), (597.5, 77), (627.5, 82)]
[(891.5, 82), (480.5, 360), (711.0, 346), (597.0, 76), (627.5, 83)]
[(893.0, 83), (479.5, 360), (712.5, 347), (597.5, 77), (626.5, 83)]
[(893.0, 82), (480.5, 360), (713.0, 346), (597.0, 76), (627.5, 83)]
[(894.5, 83), (480.5, 360), (714.5, 347), (597.5, 77), (626.5, 84)]
[(895.5, 83), (480.5, 359), (715.0, 347), (598.0, 76), (626.5, 84)]
[(895.5, 82), (480.0, 360), (715.0, 346), (597.5, 77), (626.5, 84)]
[(895.5, 83), (480.0, 360), (716.0, 346), (598.0, 76), (626.5, 84)]
[(897.5, 83), (480.0, 359), (717.0, 346), (597.5, 77), (625.5, 85)]
[(897.5, 83), (480.0, 359), (718.5, 347), (599.0, 77), (625.5, 85)]
[(899.5, 84), (480.0, 359), (719.0, 347), (599.0, 76), (625.5, 85)]
[(899.5, 83), (481.0, 359), (720.0, 347), (598.5, 76), (624.5, 85)]
[(900.5, 83), (481.0, 359), (720.0, 347), (598.0, 76), (624.5, 85)]
[(901.5, 83), (481.5, 358), (721.0, 347), (598.5, 77), (624.5, 85)]
[(902.5, 84), (481.0, 359), (723.0, 347), (598.5, 77), (623.5, 86)]
[(903.5, 83), (481.5, 359), (723.0, 347), (597.5, 77), (623.5, 86)]
[(904.0, 84), (481.5, 359), (723.0, 347), (599.0, 77), (623.5, 86)]
[(905.0, 84), (481.5, 358), (725.0, 346), (599.0, 77), (623.5, 86)]
[(906.0, 85), (482.0, 358), (724.5, 347), (599.0, 77), (622.5, 86)]
[(906.0, 85), (482.5, 358), (726.0, 347), (599.0, 77), (622.5, 86)]
[(907.0, 86), (482.5, 357), (726.0, 347), (599.0, 76), (622.5, 85)]
[(908.0, 87), (482.5, 357), (727.0, 346), (600.0, 77), (623.5, 85)]
[(908.5, 88), (483.5, 357), (727.5, 347), (599.0, 77), (621.5, 85)]
[(911.0, 88), (482.5, 357), (729.0, 347), (599.5, 78), (622.5, 86)]
[(912.0, 89), (483.5, 357), (729.0, 346), (600.0, 77), (622.5, 86)]
[(912.0, 89), (483.5, 357), (731.0, 347), (600.0, 77), (621.5, 86)]
[(913.0, 89), (484.5, 356), (731.0, 348), (600.0, 77), (621.5, 87)]
[(914.0, 89), (484.0, 356), (732.0, 348), (600.5, 78), (622.5, 86)]
[(915.0, 90), (484.5, 356), (733.0, 347), (600.5, 81), (620.5, 86)]
[(916.0, 90), (485.5, 355), (734.0, 348), (600.5, 78), (621.5, 87)]
[(917.0, 89), (485.5, 355), (735.0, 349), (600.0, 78), (621.5, 87)]
[(918.0, 89), (485.0, 356), (736.0, 349), (601.5, 77), (621.5, 87)]
[(918.5, 90), (486.5, 355), (736.0, 349), (601.5, 76), (621.5, 87)]
[(920.5, 90), (486.5, 355), (737.0, 349), (602.5, 76), (622.5, 87)]
[(920.0, 91), (487.5, 354), (739.0, 349), (602.5, 77), (621.5, 88)]
[(922.5, 90), (487.0, 354), (740.0, 349), (602.5, 77), (622.5, 88)]
[(923.0, 91), (488.0, 354), (741.0, 350), (602.5, 76), (621.5, 88)]
[(924.0, 91), (488.0, 354), (742.0, 350), (602.5, 77), (621.5, 88)]
[(925.0, 91), (489.0, 354), (743.0, 350), (602.5, 77), (621.5, 88)]
[(925.0, 92), (489.0, 353), (744.0, 350), (602.5, 77), (621.5, 89)]
[(927.0, 93), (490.0, 353), (745.0, 350), (603.5, 77), (620.5, 89)]
[(928.0, 93), (489.5, 352), (746.0, 350), (603.5, 77), (618.5, 89)]
[(929.0, 94), (490.5, 351), (747.0, 350), (602.5, 77), (620.5, 89)]
[(930.0, 94), (490.5, 351), (747.0, 350), (602.5, 77), (619.5, 90)]
[(930.0, 95), (491.5, 350), (748.0, 350), (603.0, 76), (617.5, 90)]
[(930.5, 97), (491.5, 350), (749.0, 350), (604.0, 76), (617.5, 90)]
