[(1202.0, 691.0), (2313.0, 691.0), (3539.5, 1695.5), (36.5, 1766.5)]
[(1202.0, 691.0), (2313.0, 691.0), (3539.5, 1694.5), (36.5, 1766.5)]
[(1202.0, 691.0), (2313.0, 690.0), (3539.5, 1694.0), (36.5, 1766.5)]
[(1203.0, 691.0), (2313.0, 691.0), (3539.5, 1695.0), (36.5, 1766.5)]
[(1203.0, 691.0), (2313.0, 690.0), (3539.5, 1695.0), (36.5, 1766.5)]
[(1202.0, 691.0), (2314.0, 691.0), (3539.5, 1695.0), (35.5, 1766.5)]
[(1202.0, 691.0), (2314.0, 690.0), (3539.0, 1695.0), (36.5, 1766.5)]
[(1202.0, 691.0), (2314.0, 691.0), (3538.0, 1695.0), (35.5, 1766.5)]
[(1203.0, 692.0), (2313.0, 690.0), (3538.0, 1695.0), (35.5, 1766.5)]
[(1202.0, 692.0), (2313.0, 691.0), (3537.5, 1694.5), (36.5, 1766.5)]
[(1202.0, 692.0), (2313.0, 691.0), (3537.5, 1694.5), (35.5, 1766.5)]
[(1202.0, 692.0), (2314.0, 691.0), (3537.5, 1694.5), (36.0, 1766.0)]
[(1202.0, 692.0), (2313.0, 691.0), (3537.5, 1694.5), (35.5, 1766.5)]
[(1202.0, 691.0), (2313.0, 691.0), (3537.5, 1694.5), (36.5, 1766.5)]
[(1202.0, 691.0), (2314.0, 691.0), (3536.5, 1694.5), (35.5, 1765.5)]
[(1202.0, 691.0), (2313.0, 691.0), (3537.5, 1695.0), (36.5, 1765.5)]
[(1202.0, 691.0), (2313.0, 691.0), (3536.5, 1695.5), (35.5, 1766.5)]
[(1203.0, 691.0), (2314.0, 692.0), (3536.5, 1695.0), (36.5, 1766.5)]
[(1202.0, 691.0), (2313.0, 691.0), (3536.5, 1695.0), (35.5, 1765.5)]
[(1202.0, 691.0), (2313.0, 691.0), (3537.5, 1695.0), (36.0, 1766.0)]
[(1203.0, 691.0), (2312.0, 691.0), (3536.5, 1695.5), (36.0, 1766.0)]
