1417.5,1036.0
1337.5,1017.0
1314.5,989.0
1332.5,934.0
1353.5,950.0
1393.5,921.0
1417.5,898.0
1447.5,871.0
1471.5,868.0
1483.5,860.0
1483.5,845.0
1483.5,839.0
1487.5,834.0
1484.5,838.0
1489.5,842.0
1493.5,841.0
1485.5,842.0
1459.5,841.0
1447.5,842.0
1453.5,842.0
1464.5,842.0
1476.5,843.0
1478.5,846.0
1471.5,851.0
1475.5,848.0
1480.5,855.0
1501.5,857.0
1527.5,854.0
1571.5,841.0
1594.5,825.0
1641.5,800.0
1673.5,785.0
1711.5,773.0
1748.5,764.0
1793.5,748.0
1832.5,732.0
1882.5,717.0
1935.5,699.0
1973.5,683.0
2005.5,672.0
2026.5,662.0
2048.5,650.0
2068.5,636.0
2083.5,634.0
2098.5,628.0
2111.5,632.0
2126.5,630.0
2142.5,632.0
2154.5,630.0
2164.5,622.0
2175.5,622.0
2185.5,618.0
2195.5,618.0
2199.5,617.0
2201.5,620.0
2197.5,622.0
2190.5,618.0
2177.5,610.0
2149.5,605.0
2110.5,594.0
2063.5,589.0
2010.5,584.0
1945.5,582.0
1882.5,583.0
1807.5,581.0
1741.5,582.0
1688.5,575.0
1639.5,568.0
1601.5,565.0
1572.5,567.0
1556.5,565.0
1543.5,573.0
1537.5,571.0
1541.5,575.0
1536.5,577.0
1535.5,581.0
1547.5,584.0
1556.5,588.0
1574.5,590.0
1587.5,586.0
1596.5,581.0
1606.5,576.0
1612.5,569.0
1623.5,563.0
1629.5,555.0
1634.5,548.0
1641.5,542.0
1645.5,540.0
1650.5,534.0
1657.5,533.0
1662.5,530.0
